id,count
0,14
1,16
2,17
3,15
4,14
5,14
6,17
7,16
8,15
9,13
10,15
11,14
12,15
13,17
14,15
15,13
16,11
17,12
18,13
19,16
20,13
21,13
22,16
23,12
24,12
25,16
26,16
27,14
28,13
29,12
30,15
31,16
32,14
33,12
34,16
35,12
36,16
37,16
38,14
39,13
40,12
41,16
42,15
43,13
44,12
45,13
46,13
47,12
48,16
49,16
50,16
51,15
52,12
53,12
54,17
55,16
56,15
57,14
58,12
59,12
60,17
61,16
62,15
63,15
64,12
65,17
66,16
67,17
68,15
69,14
70,12
71,14
72,14
73,17
74,16
75,15
76,14
77,13
78,17
79,17
80,15
81,15
82,14
83,17
84,12
85,12
86,16
87,16
88,15
89,15
90,12
91,17
92,16
93,15
94,14
95,16
96,12
97,15
98,16
99,14
100,15
101,12
102,17
103,16
104,15
105,14
106,15
107,15
108,12
109,17
110,16
111,14
112,13
113,12
114,17
115,16
116,15
117,15
118,14
119,17
120,15
121,18
122,17
123,16
124,17
125,16
126,17
127,17
128,15
129,13
130,16
131,16
132,14
133,17
134,13
135,16
136,16
137,16
138,17
139,15
140,15
141,16
142,15
143,18
144,17
145,17
146,17
147,14
148,15
149,16
150,16
151,13
152,16
153,14
154,17
155,16
156,16
157,16
158,14
159,15
160,17
161,16
162,15
163,14
164,14
165,14
166,15
167,16
168,15
169,12
170,13
171,15
172,16
173,15
174,13
175,12
176,15
177,15
178,15
179,12
180,15
181,12
182,15
183,16
184,15
185,17
186,15
187,15
188,19
189,17
190,15
191,15
192,33
193,17
194,16
195,15
196,16
197,13
198,16
199,16
200,15
201,16
202,17
203,15
204,17
205,18
206,16
207,16
208,12
209,17
210,17
211,14
212,15
213,16
214,15
215,16
216,16
217,15
218,16
219,14
220,15
221,14
222,14
223,15
224,16
225,15
226,15
227,15
228,15
229,12
