Epoch,Loss,Loop
1,101.14983802404772,Training
1,40.42914714633858,Validation
2,50.706593596200335,Training
2,29.402714855867742,Validation
3,45.664468460322176,Training
3,25.645598403587858,Validation
4,42.44057628029691,Training
4,30.771075967212706,Validation
5,38.05259838921398,Training
5,34.12720218447184,Validation
6,40.44170635944873,Training
6,27.43390018538871,Validation
7,34.961623567523375,Training
7,25.766687929318866,Validation
8,31.923179379326672,Training
8,39.30400389987224,Validation
9,29.891144049952395,Training
9,24.91384369602024,Validation
10,27.98133174653088,Training
10,21.626338296051184,Validation
11,29.73431202560632,Training
11,53.79102035450711,Validation
12,31.403221475168703,Training
12,26.734765297940534,Validation
13,26.886759198945143,Training
13,48.43280454215087,Validation
14,29.862972068188707,Training
14,21.821800508967513,Validation
15,33.362873691251906,Training
15,25.210959193350256,Validation
16,26.64334540132943,Training
16,23.66958921506238,Validation
17,23.705535011729975,Training
17,25.711580188795068,Validation
18,25.880875076246113,Training
18,22.904554213600598,Validation
19,24.788646462818175,Training
19,25.85973339220324,Validation
20,24.596873549458376,Training
20,27.910784003876593,Validation
21,24.703069738708944,Training
21,21.116738110126747,Validation
22,20.031591236030795,Training
22,21.982632375436143,Validation
23,22.142019130344053,Training
23,20.421608550172365,Validation
24,24.11960790747759,Training
24,24.1808381603803,Validation
25,24.3031717019395,Training
25,23.675700045180047,Validation
26,22.826278626731945,Training
26,35.487551243701326,Validation
27,20.1177232238068,Training
27,25.10421076588247,Validation
28,23.604615774523378,Training
28,23.184666810987387,Validation
29,18.090825295124432,Training
29,20.50316741249778,Validation
30,20.826925335508406,Training
30,23.068353547322463,Validation
31,17.639614628400174,Training
31,19.490298032013225,Validation
32,18.849910478980565,Training
32,17.587484048825445,Validation
33,18.785251631382987,Training
33,20.332038217702006,Validation
34,19.598599856425476,Training
34,21.220068512042612,Validation
35,17.832863750876303,Training
35,18.935258672030617,Validation
36,17.161273395255318,Training
36,19.305169348681858,Validation
37,19.15704171510575,Training
37,21.98619512380602,Validation
38,18.81668078862014,Training
38,20.385309256730036,Validation
39,17.200704092266914,Training
39,19.893438232605234,Validation
40,18.24770691651411,Training
40,19.17556717951345,Validation
41,17.624019184331786,Training
41,18.661356146681893,Validation
42,16.000894607296807,Training
42,18.935158187443683,Validation
43,16.463714488995112,Training
43,19.520747041752095,Validation
44,16.171952617330362,Training
44,19.804856960053478,Validation
45,16.31579659799797,Training
45,19.309256634368417,Validation
46,16.920505965142166,Training
46,19.26545391860053,Validation
47,16.17609395950939,Training
47,19.432055985541428,Validation
48,16.430825967898315,Training
48,19.161294791641154,Validation
49,16.969601340179285,Training
49,19.284180622738607,Validation
50,15.667821686843347,Training
50,19.537898826997733,Validation
