id,count
0,1
1,4
2,24
3,1
4,1
5,2
6,1
7,1
8,2
9,4
10,80
11,2
12,4
13,1
14,17
15,1
16,2
17,8
18,10
19,1
20,5
21,8
22,1
23,1
24,3
25,1
26,1
27,3
28,7
29,1
30,1
31,2
32,1
33,4
34,1
35,1
36,1
37,1
38,14
39,1
40,1
41,8
42,1
43,1
44,3
45,1
46,1
47,1
48,1
49,1
50,2
51,1
52,2
53,6
54,1
55,58
56,8
57,3
58,1
59,1
60,2
61,1
62,2
63,21
64,4
65,14
66,18
67,6
68,12
69,10
70,2
71,2
72,1
73,1
74,1
75,5
76,1
77,26
78,6
79,3
80,1
81,3
82,2
83,3
84,1
85,21
86,10
87,11
88,5
89,3
90,1
91,12
92,2
93,1
94,2
95,3
96,15
97,1
98,2
99,9
100,7
101,1
102,1
103,21
104,8
105,8
106,1
107,9
108,1
109,1
110,6
111,1
112,6
113,78
114,1
115,3
116,2
117,4
118,2
119,2
120,3
121,1
122,55
123,9
124,27
125,1
126,2
127,12
128,1
129,5
130,1
131,2
132,1
133,1
134,1
135,1
136,25
137,26
138,30
139,27
140,28
141,30
142,29
143,31
144,31
145,29
146,29
147,30
148,27
149,28
150,28
151,27
152,29
153,27
154,27
155,28
156,27
157,29
158,28
159,28
160,29
161,29
162,29
163,28
164,29
165,28
166,28
167,29
168,29
169,29
170,28
171,29
172,28
173,28
174,28
175,27
176,13
177,12
178,7
179,9
180,11
181,8
182,14
183,16
184,10
185,11
186,13
187,12
188,12
189,12
190,11
191,12
192,13
193,15
194,12
195,13
196,13
197,9
198,13
199,14
200,12
201,11
202,10
203,9
204,11
205,12
206,12
207,12
208,12
209,12
210,12
211,12
212,12
213,12
214,12
215,11
216,12
217,12
218,11
219,12
220,12
221,10
222,10
223,10
224,11
225,10
226,10
227,10
228,11
229,11
230,10
231,13
232,12
233,12
234,13
235,11
236,12
237,10
238,10
239,10
240,11
241,11
242,11
243,11
244,11
245,10
246,7
247,7
248,5
249,5
250,5
251,5
252,5
253,5
254,5
255,5
256,5
257,5
258,6
259,5
260,5
261,5
262,5
263,6
264,6
265,6
266,4
267,4
268,6
269,7
270,6
271,5
272,6
273,6
274,6
275,6
276,6
277,6
278,6
279,5
280,7
281,6
282,7
283,7
284,6
285,5
286,7
287,6
288,7
289,6
290,5
291,7
292,4
293,7
294,7
295,6
296,7
297,6
298,4
299,7
300,7
301,7
302,6
303,6
304,6
305,5
306,2
307,2
308,2
309,2
310,2
311,2
312,2
313,2
314,4
315,4
316,4
317,4
318,5
319,3
320,5
321,5
322,5
323,4
324,4
325,4
326,4
327,4
328,3
329,5
330,5
331,5
332,5
333,5
334,5
335,5
336,5
337,5
338,5
339,5
340,4
341,4
342,3
343,2
344,2
345,2
346,4
347,4
348,4
349,4
350,4
351,3
352,3
353,4
354,4
355,2
356,2
357,4
358,4
359,4
360,2
361,2
362,2
363,2
364,2
365,2
366,2
367,1
368,1
369,2
370,5
371,5
372,5
373,5
374,5
375,5
376,5
377,5
378,3
379,4
380,4
381,4
382,4
383,4
384,4
385,4
386,5
387,5
388,5
389,5
390,6
391,6
392,6
393,6
394,7
395,7
396,7
397,7
398,7
399,6
400,7
401,7
402,8
403,7
404,7
405,8
406,7
407,8
408,9
409,9
410,9
411,9
412,9
413,8
414,9
415,9
416,8
417,8
418,8
419,8
420,8
421,8
422,8
423,7
424,8
425,8
426,8
427,8
428,8
429,8
430,7
431,7
432,6
433,6
434,6
435,6
436,6
437,6
438,6
439,6
440,6
441,6
442,6
443,6
444,6
445,6
446,6
447,5
448,9
449,9
450,7
451,7
452,7
453,6
454,6
455,6
456,7
457,7
458,7
459,8
460,8
461,7
462,7
463,7
464,7
465,7
466,7
467,7
468,14
469,1
470,2
471,1
472,1
473,1
474,1
475,1
476,4
477,1
478,1
479,2
480,1
481,17
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,3
490,3
491,3
492,3
493,3
494,3
495,3
496,3
497,3
498,3
499,1
500,39
501,40
502,43
503,43
504,45
505,40
506,42
507,39
508,38
509,40
510,40
511,34
512,42
513,38
514,34
515,39
516,37
517,39
518,37
519,38
520,38
521,37
522,35
523,38
524,36
525,37
526,35
527,33
528,34
529,34
530,34
531,33
532,31
533,32
534,30
535,31
536,29
537,31
538,28
539,34
540,51
541,1
